state_abbr,year_2014,year_2015,year_2016,year_2017,year_2018
AL,0,1,2,2,3
AK,0,1,1,0,1
AS,0,0,0,0,0
AZ,1,1,1,0,1
AR,0,0,0,1,1
CA,1,1,1,6,6
CO,0,0,3,1,1
CT,1,1,1,0,0
DE,0,0,1,0,1
DC,0,0,0,0,0
FM,0,0,0,0,0
FL,4,4,2,2,6
GA,2,3,1,3,4
GU,0,0,0,0,0
HI,1,0,0,0,0
ID,0,0,1,0,0
IL,1,0,2,2,3
IN,1,0,2,0,2
IA,2,0,1,0,2
KS,0,0,1,0,1
KY,1,0,0,0,4
LA,1,1,0,3,1
ME,1,0,0,0,0
MH,0,0,0,0,0
MD,1,1,1,0,4
MA,0,0,1,0,0
MI,2,1,3,2,5
MN,0,1,1,1,1
MS,0,0,1,0,1
MO,1,1,2,1,5
MT,0,0,0,0,2
NB,0,0,0,0,0
NE,0,1,0,1,0
NV,0,1,1,0,1
NH,1,0,0,0,1
NJ,1,0,0,0,0
NM,1,0,0,1,0
NY,0,0,0,0,3
NC,4,1,0,1,3
ND,0,0,0,0,0
MP,0,0,0,0,0
OH,2,1,3,3,3
OK,0,0,1,1,0
OR,3,0,0,0,2
PW,0,0,0,0,0
PA,3,0,2,2,3
PR,0,0,0,0,0
RI,0,0,0,0,1
SC,0,1,2,2,1
SD,0,1,0,0,1
TN,2,0,0,1,6
TX,0,8,4,3,6
UT,2,0,2,1,0
VT,0,0,0,0,1
VI,0,0,0,0,0
VA,1,0,0,1,4
WA,2,1,0,2,5
WV,0,0,0,0,1
WI,1,1,1,1,0
WY,0,0,0,0,0
,1,,,,